Year,Name,Position,Date of Birth,Caps,Club
1930,Roberto Gayón,4FW,(1905-01-01)1 January 1905 (aged 25),0,América
1930,Hilario López,4FW,(1907-11-18)18 November 1907 (aged 22),0,Marte
1930,Dionisio Mejía,4FW,(1907-01-06)6 January 1907 (aged 23),1,Atlante
1930,Felipe Olivares,4FW,(1905-02-05)5 February 1905 (aged 25),0,Atlante
1930,Luis Pérez,4FW,(1906-08-25)25 August 1906 (aged 23),0,Necaxa
1930,Raymundo Rodríguez,3MF,(1905-04-15)15 April 1905 (aged 25),0,Marte
1930,Felipe Rosas,3MF,(1910-02-05)5 February 1910 (aged 20),0,Atlante
1930,Manuel Rosas,2DF,(1912-04-17)17 April 1912 (aged 18),0,Atlante
1930,José Ruíz,4FW,1904 (aged 25–26),0,Necaxa
1930,Alfredo Sánchez,3MF,(1904-05-28)28 May 1904 (aged 26),0,América
1930,Isidoro Sota,1GK,(1902-02-04)4 February 1902 (aged 28),0,América
1930,Milorad Arsenijević,3MF,(1906-06-06)6 June 1906 (aged 24),16,BSK Beograd
1930,Ivan Bek,4FW,(1909-10-29)29 October 1909 (aged 20),2,Sète
1930,Momčilo Đokić,3MF,(1911-02-27)27 February 1911 (aged 19),2,SK Jugoslavija
1930,Branislav Hrnjiček,3MF,(1908-06-05)5 June 1908 (aged 22),4,SK Jugoslavija
1930,Milutin Ivković,2DF,(1906-03-03)3 March 1906 (aged 24),22,SK Soko
1930,Milovan Jakšić,1GK,(1909-09-21)21 September 1909 (aged 20),2,SK Soko
1930,Blagoje Marjanović,4FW,(1907-09-09)9 September 1907 (aged 22),15,BSK Beograd
1930,Dušan Marković,4FW,(1906-03-09)9 March 1906 (aged 24),0,SK Vojvodina
1930,Dragoslav Mihajlović,2DF,(1906-12-13)13 December 1906 (aged 23),1,BSK Beograd
1930,Dragutin Najdanović,4FW,(1908-04-15)15 April 1908 (aged 22),3,BSK Beograd
1930,Branislav Sekulić,4FW,(1906-10-29)29 October 1906 (aged 23),3,Club Français
1930,Teofilo Spasojević,3MF,(1909-01-21)21 January 1909 (aged 21),1,SK Jugoslavija
1930,Ljubiša Stefanović,3MF,(1910-01-04)4 January 1910 (aged 20),0,Sète
1930,Milan Stojanović,1GK,(1911-12-28)28 December 1911 (aged 18),0,BSK Beograd
1930,Aleksandar Tirnanić,4FW,(1910-07-15)15 July 1910 (aged 19),5,BSK Beograd
1930,Dragomir Tošić,2DF,(1909-11-08)8 November 1909 (aged 20),0,BSK Beograd
1930,Đorđe Vujadinović,4FW,(1909-11-29)29 November 1909 (aged 20),4,BSK Beograd
1930,Araken,4FW,(1905-07-17)17 July 1905 (aged 24),0,Flamengo*
1930,Benedicto,4FW,(1906-10-30)30 October 1906 (aged 23),0,Botafogo
1930,Brilhante,2DF,(1904-11-05)5 November 1904 (aged 25),0,Vasco da Gama
1930,Carvalho Leite,4FW,(1912-06-25)25 June 1912 (aged 18),0,Botafogo
1930,Fausto,2DF,(1905-01-28)28 January 1905 (aged 25),0,Vasco da Gama
1930,Fernando,3MF,(1906-03-01)1 March 1906 (aged 24),0,Fluminense
1930,Fortes,3MF,(1901-09-09)9 September 1901 (aged 28),13,Fluminense
1930,Hermógenes,2DF,(1908-11-04)4 November 1908 (aged 21),0,America-RJ
1930,Itália,2DF,(1907-05-22)22 May 1907 (aged 23),0,Vasco da Gama
1930,Ivan Mariz,3MF,(1910-01-16)16 January 1910 (aged 20),0,Fluminense
1930,Joel,1GK,(1904-05-01)1 May 1904 (aged 26),0,America-RJ
1930,Manoelzinho,4FW,(1907-08-22)22 August 1907 (aged 22),0,Ypiranga-RJ
1930,Moderato,4FW,(1902-07-14)14 July 1902 (aged 27),4,Flamengo
1930,Nilo,4FW,(1903-04-03)3 April 1903 (aged 27),10,Botafogo
1930,Oscarino,3MF,(1907-01-17)17 January 1907 (aged 23),0,Ypiranga-RJ
1930,Pamplona,3MF,(1904-03-24)24 March 1904 (aged 26),2,Botafogo
1930,Poly,4FW,(1907-12-21)21 December 1907 (aged 22),0,Americano-RJ
1930,Preguinho,4FW,(1905-02-08)8 February 1905 (aged 25),0,Fluminense
1930,Russinho,4FW,(1902-12-18)18 December 1902 (aged 27),0,Vasco da Gama
1930,Teóphilo,4FW,(1900-04-11)11 April 1900 (aged 30),0,São Cristóvão
1930,Velloso,1GK,(1908-08-25)25 August 1908 (aged 21),0,Fluminense
1930,Zé Luiz,2DF,(1904-11-16)16 November 1904 (aged 25),0,São Cristóvão
1930,Mario Alborta,4FW,(1910-09-19)19 September 1910 (aged 19),7,Bolívar
1930,Juan Argote,3MF,(1907-01-06)6 January 1907 (aged 23),0,Bolívar
1930,Jesús Bermúdez,1GK,(1902-01-24)24 January 1902 (aged 28),6,Oruro Royal
1930,Miguel Brito,3MF,(1901-06-13)13 June 1901 (aged 29),0,Oruro Royal
1930,José Bustamante,4FW,1907 (aged 22–23),7,Litoral
1930,Casiano Chavarría,2DF,(1901-08-03)3 August 1901 (aged 28),6,Calavera La Paz
1930,Segundo Durandal,2DF,(1912-03-17)17 March 1912 (aged 18),0,Club San José
1930,René Fernández,4FW,(1906-01-01)1 January 1906 (aged 24),0,Alianza Oruro
1930,Gumercindo Gómez,4FW,(1907-01-21)21 January 1907 (aged 23),0,Oruro Royal
1930,Diógenes Lara,3MF,(1903-04-06)6 April 1903 (aged 27),7,Bolívar
1930,Rafael Méndez,4FW,1904 (aged 25–26),7,Universitario La Paz
1930,Miguel Murillo,1GK,(1898-03-24)24 March 1898 (aged 32),0,Bolívar
1930,Constantino Noya,3MF,Unknown,0,Oruro Royal
1930,Eduardo Reyes Ortiz,4FW,(1907-01-01)1 January 1907 (aged 23),0,The Strongest
1930,Luis Reyes,2DF,(1911-06-05)5 June 1911 (aged 19),0,Universitario La Paz
1930,Renato Sáinz,3MF,(1899-12-14)14 December 1899 (aged 30),5,The Strongest
1930,Jorge Valderrama,3MF,(1906-12-12)12 December 1906 (aged 23),5,Oruro Royal
1930,José Leandro Andrade,3MF,(1901-11-22)22 November 1901 (aged 28),30,Nacional
1930,Peregrino Anselmo,4FW,(1902-04-30)30 April 1902 (aged 28),08,Peñarol
1930,Enrique Ballestrero,1GK,(1905-01-18)18 January 1905 (aged 25),01,Rampla Juniors
1930,Juan Carlos Calvo,4FW,(1906-06-26)26 June 1906 (aged 24),0-,Miramar Misiones
1930,Miguel Capuccini,1GK,(1904-01-05)5 January 1904 (aged 26),06,Peñarol
1930,Héctor Castro,4FW,(1904-11-29)29 November 1904 (aged 25),17,Nacional
1930,Pedro Cea,4FW,(1900-09-01)1 September 1900 (aged 29),21,Nacional
1930,Pablo Dorado,4FW,(1908-06-22)22 June 1908 (aged 22),02,Bella Vista
1930,Lorenzo Fernández,3MF,(1900-05-20)20 May 1900 (aged 30),20,Peñarol
1930,Álvaro Gestido,3MF,(1907-05-17)17 May 1907 (aged 23),10,Peñarol
1930,Santos Iriarte,4FW,(1902-11-02)2 November 1902 (aged 27),0-,Racing Club
1930,Ernesto Mascheroni,2DF,(1907-11-21)21 November 1907 (aged 22),0-,Olimpia
1930,Ángel Melogno,3MF,(1905-03-22)22 March 1905 (aged 25),05,Bella Vista
1930,José Nasazzi,2DF,(1901-03-24)24 March 1901 (aged 29),28,Bella Vista
1930,Pedro Petrone,4FW,(1905-05-11)11 May 1905 (aged 25),28,Nacional
1930,Conduelo Píriz,3MF,(1905-06-17)17 June 1905 (aged 25),07,Nacional
1930,Emilio Recoba,2DF,(1904-11-03)3 November 1904 (aged 25),05,Nacional
1930,Carlos Riolfo,3MF,(1905-11-05)5 November 1905 (aged 24),02,Peñarol
1930,Zoilo Saldombide,4FW,(1903-10-26)26 October 1903 (aged 26),14,Nacional
1930,Héctor Scarone,4FW,(1898-11-26)26 November 1898 (aged 31),49,Nacional
1930,Domingo Tejera,2DF,(1899-07-22)22 July 1899 (aged 30),15,Montevideo Wanderers
1930,Santos Urdinarán,4FW,(1900-03-30)30 March 1900 (aged 30),19,Nacional
1930,Ștefan Barbu,4FW,(1908-03-02)2 March 1908 (aged 22),4,Gloria Arad
1930,Rudolf Bürger,2DF,(1908-10-31)31 October 1908 (aged 21),4,Chinezul Timișoara
1930,Iosif Czako,2DF,(1906-06-11)11 June 1906 (aged 24),1,UDR Reșița
1930,Adalbert Deșu,4FW,(1909-03-24)24 March 1909 (aged 21),4,UDR Reșița
1930,Alfred Eisenbeisser,3MF,(1908-04-07)7 April 1908 (aged 22),0,Dragoș Vodă Cernăuți
1930,Nicolae Kovács,4FW,(1911-12-29)29 December 1911 (aged 18),3,Banatul Timișoara
1930,Ion Lăpușneanu,1GK,(1908-12-08)8 December 1908 (aged 21),3,Sportul Studențesc
1930,László Raffinsky,3MF,(1905-04-23)23 April 1905 (aged 25),4,Juventus București
1930,Corneliu Robe,3MF,(1908-05-23)23 May 1908 (aged 22),0,Olympia București
1930,Constantin Stanciu,4FW,(1907-09-24)24 September 1907 (aged 22),4,Venus București
1930,Adalbert Steiner,2DF,(1907-01-24)24 January 1907 (aged 23),9,Chinezul Timișoara
1930,Ilie Subășeanu,4FW,(1906-06-06)6 June 1906 (aged 24),2,Olympia București
1930,Emerich Vogl,2DF,(1905-08-12)12 August 1905 (aged 24),10,Juventus București
1930,Rudolf Wetzer,4FW,(1901-03-17)17 March 1901 (aged 29),12,Juventus București
1930,Samuel Zauber,1GK,(1901-01-09)9 January 1901 (aged 29),0,Maccabi București
1930,Eduardo Astengo,3MF,(1909-06-26)26 June 1909 (aged 21),3,Universitario de Deportes
1930,Carlos Cillóniz,3MF,(1910-07-01)1 July 1910 (aged 20),0,Universitario de Deportes
1930,Mario de las Casas,2DF,(1901-01-31)31 January 1901 (aged 29),0,Lawn Tennis
1930,Alberto Denegri,3MF,(1906-08-07)7 August 1906 (aged 23),3,Universitario de Deportes
1930,Arturo Fernández,2DF,(1910-02-03)3 February 1910 (aged 20),0,Universitario de Deportes
1930,Plácido Galindo,3MF,(1906-03-09)9 March 1906 (aged 24),1,Universitario de Deportes
1930,Domingo García,3MF,(1904-11-30)30 November 1904 (aged 25),0,Alianza Lima
1930,José María Lavalle,4FW,(1911-06-05)5 June 1911 (aged 19),3,Alianza Lima
1930,Julio Lores,4FW,(1908-09-15)15 September 1908 (aged 21),0,Necaxa
1930,Antonio Maquilón,2DF,(1902-11-29)29 November 1902 (aged 27),5,Tarapacá Ferroviario
1930,Demetrio Neyra,4FW,(1908-12-15)15 December 1908 (aged 21),2,Alianza Lima
1930,Pablo Pacheco,4FW,(1908-06-22)22 June 1908 (aged 22),0,Universitario de Deportes
1930,Jorge Pardon,1GK,(1905-03-04)4 March 1905 (aged 25),6,Sporting Tabaco
1930,Julio Quintana,3MF,(1904-07-13)13 July 1904 (aged 26),0,Alianza Lima
1930,Lizardo Rodríguez Nue,4FW,(1910-08-30)30 August 1910 (aged 19),0,Sport Progreso
1930,Jorge Sarmiento,4FW,(1900-11-02)2 November 1900 (aged 29),2,Alianza Lima
1930,Alberto Soria,2DF,(1906-03-10)10 March 1906 (aged 24),0,Alianza Lima
1930,Luis de Souza,4FW,(1908-10-06)6 October 1908 (aged 21),0,Universitario de Deportes
1930,Juan Valdivieso,1GK,(1910-05-06)6 May 1910 (aged 20),0,Alianza Lima
1930,Alejandro Villanueva,4FW,(1908-06-04)4 June 1908 (aged 22),2,Alianza Lima
1930,Andy Auld,3MF,(1900-04-30)30 April 1900 (aged 30),1,Providence
1930,Mike Bookie,4FW,(1904-09-12)12 September 1904 (aged 25),0,Cleveland Slavia
1930,Jim Brown,4FW,(1908-12-31)31 December 1908 (aged 21),3,New York Giants
1930,Jimmy Douglas,1GK,(1898-01-12)12 January 1898 (aged 32),5,New York Nationals
1930,Tom Florie,4FW,(1897-09-06)6 September 1897 (aged 32),2,New Bedford Whalers
1930,Jimmy Gallagher,3MF,(1901-06-07)7 June 1901 (aged 29),2,New York Nationals
1930,James Gentle,4FW,(1904-07-21)21 July 1904 (aged 25),0,Philadelphia Field Club
1930,Billy Gonsalves,4FW,(1908-08-10)10 August 1908 (aged 21),0,Fall River
1930,Bart McGhee,4FW,(1899-04-30)30 April 1899 (aged 31),0,New York Nationals
1930,George Moorhouse,2DF,(1901-04-04)4 April 1901 (aged 29),1,New York Giants
1930,Arnie Oliver,4FW,(1907-05-22)22 May 1907 (aged 23),0,Lucitania Recreation
1930,Bert Patenaude,4FW,(1909-11-04)4 November 1909 (aged 20),0,Fall River
1930,Philip Slone,3MF,(1907-01-20)20 January 1907 (aged 23),0,New York Giants
1930,Raphael Tracey,4FW,(1904-02-06)6 February 1904 (aged 26),0,Ben Millers
1930,Frank Vaughn,2DF,(1902-02-18)18 February 1902 (aged 28),0,Ben Millers
1930,Alexander Wood,2DF,(1907-06-12)12 June 1907 (aged 23),0,Detroit Holley Carburetor
1930,Francisco Aguirre,3MF,(1907-11-30)30 November 1907 (aged 22),0,Olimpia
1930,Pedro Benítez,1GK,(1901-01-12)12 January 1901 (aged 29),0,Libertad
1930,Santiago Benítez,3MF,1903 (aged 26–27),0,Olimpia
1930,Delfín Benítez Cáceres,4FW,(1910-09-24)24 September 1910 (aged 19),0,Libertad
1930,Saguier Carreras,4FW,Unknown,?,Sportivo Luqueño
1930,Eustacio Chamorro,2DF,Unknown,?,Presidente Hayes
1930,Modesto Denis,1GK,(1901-03-09)9 March 1901 (aged 29),0,Nacional
1930,Eusebio Díaz,3MF,(1898-06-21)21 June 1898 (aged 32),0,Guaraní
1930,Diógenes Domínguez,4FW,1902 (aged 27–28),0,Sportivo Luqueño
1930,Romildo Etcheverry,3MF,(1906-12-15)15 December 1906 (aged 23),0,Olimpia
1930,Diego Florentín,3MF,Unknown,?,River Plate
1930,Salvador Flores,2DF,1906 (aged 23–24),0,Cerro Porteño
1930,Tranquilino Garcete,3MF,1907 (aged 22–23),0,Libertad
1930,Aurelio González,4FW,(1905-09-25)25 September 1905 (aged 24),0,Olimpia
1930,José Miracca,2DF,(1903-09-23)23 September 1903 (aged 26),0,Nacional
1930,Lino Nessi,4FW,1904 (aged 25–26),0,Libertad
1930,Quiterio Olmedo,2DF,(1907-12-21)21 December 1907 (aged 22),0,Nacional
1930,Amadeo Ortega,4FW,Unknown,0,River Plate
1930,Bernabé Rivera,4FW,Unknown,0,Sportivo Luqueño
1930,Gerardo Romero,4FW,1906 (aged 23–24),0,Libertad
1930,Luis Vargas Peña,4FW,1905 (aged 24–25),0,Olimpia
1930,Jacinto Villalba,4FW,(1914-09-19)19 September 1914 (aged 15),?,Cerro Porteño
1930,Ferdinand Adams,4FW,(1903-05-03)3 May 1903 (aged 27),21,Anderlecht
1930,Arnold Badjou,1GK,(1909-06-25)25 June 1909 (aged 21),3,Daring Club
1930,Pierre Braine,3MF,(1900-10-26)26 October 1900 (aged 29),42,Beerschot
1930,Alexis Chantraine,3MF,(1901-03-16)16 March 1901 (aged 29),0,RFC Liège
1930,Jean De Bie,1GK,(1892-05-09)9 May 1892 (aged 38),37,Racing Bruxelles
1930,Jean De Clercq,3MF,(1905-05-17)17 May 1905 (aged 25),5,Antwerp
1930,Henri De Deken,2DF,(1907-08-03)3 August 1907 (aged 22),0,Antwerp
1930,Gérard Delbeke,3MF,(1898-08-01)1 August 1898 (aged 31),0,FC Brugeois
1930,Jan Diddens,4FW,(1906-09-14)14 September 1906 (aged 23),21,RC de Malines
1930,August Hellemans,3MF,(1907-06-21)21 June 1907 (aged 23),4,RFC Malinois
1930,Nicolas Hoydonckx,2DF,(1900-12-29)29 December 1900 (aged 29),19,FC Excelsior Hasselt
1930,Jacques Moeschal,4FW,(1900-09-06)6 September 1900 (aged 29),15,Racing Bruxelles
1930,Théodore Nouwens,2DF,(1908-02-17)17 February 1908 (aged 22),10,RC de Malines
1930,André Saeys,4FW,(1911-02-20)20 February 1911 (aged 19),0,CS Brugeois
1930,Louis Versyp,4FW,(1908-12-05)5 December 1908 (aged 21),7,FC Brugeois
1930,Bernard Voorhoof,4FW,(1910-05-10)10 May 1910 (aged 20),6,Liersche
1934,Ernesto Albarracín,3MF,(1907-09-25)25 September 1907 (aged 26),0,Club Sportivo Buenos Aires
1934,Ramón Astudillo,2DF,,0,Colón de Santa Fe
1934,Ernesto Belis,2DF,(1909-02-01)1 February 1909 (aged 25),0,Defensores de Belgrano
1934,Enrique Chimento,2DF,,0,Barracas Central
1934,Alfredo Devincenzi,4FW,(1911-01-24)24 January 1911 (aged 23),3,Club Atlético Estudiantil Porteño
1934,Héctor Freschi,1GK,(1911-05-22)22 May 1911 (aged 23),0,Sarmiento de Resistencia
1934,Alberto Galateo,4FW,(1912-03-04)4 March 1912 (aged 22),0,Unión de Santa Fe
1934,Ángel Grippa,1GK,(1914-03-02)2 March 1914 (aged 20),0,Club Sportivo Alsina
1934,Roberto Irañeta,4FW,(1915-03-21)21 March 1915 (aged 19),0,Gimnasia y Esgrima de Mendoza
1934,Luis Izzeta,4FW,,0,Defensores de Belgrano
1934,Arcadio López,3MF,(1910-09-15)15 September 1910 (aged 23),2,Club Sportivo Buenos Aires
1934,Alfonso Lorenzo,3MF,,0,Barracas Central
1934,José Nehin,3MF,(1905-10-13)13 October 1905 (aged 28),0,Sportivo Desamparados
1934,Juan Pedevilla,2DF,(1909-06-06)6 June 1909 (aged 24),0,Club Atletico Estudiantil Porteño
1934,N/A,4FW,,0,Almagro
1934,Francisco Rúa,4FW,(1911-02-04)4 February 1911 (aged 23),0,Sportivo Dock Sud
1934,Constantino Urbieta Sosa,3MF,(1907-08-12)12 August 1907 (aged 26),0,Godoy Cruz
1934,Federico Wilde,4FW,1909,0,Unión de Santa Fe
1934,Josef Bican,4FW,(1913-09-25)25 September 1913 (aged 20),6,Rapid Wien
1934,Georg Braun,4FW,(1907-02-22)22 February 1907 (aged 27),11,Wiener AC
1934,Franz Cisar,2DF,(1908-11-28)28 November 1908 (aged 25),5,Wiener AC
1934,Friederich Franzl,1GK,(1905-03-06)6 March 1905 (aged 29),15,Wiener SC
1934,Josef Hassmann,4FW,(1910-05-21)21 May 1910 (aged 24),0,First Vienna
1934,Leopold Hofmann,3MF,(1905-10-31)31 October 1905 (aged 28),19,First Vienna
1934,Johann Horvath,4FW,(1903-05-20)20 May 1903 (aged 31),43,First Vienna
1934,Anton Janda,2DF,(1904-05-01)1 May 1904 (aged 30),9,Admira Wien
1934,Matthias Kaburek,4FW,(1911-02-09)9 February 1911 (aged 23),2,Rapid Wien
1934,Peter Platzer,1GK,(1910-05-29)29 May 1910 (aged 23),11,Admira Wien
1934,Rudolf Raftl,1GK,(1911-02-07)7 February 1911 (aged 23),1,Rapid Wien
1934,Anton Schall,4FW,(1907-06-22)22 June 1907 (aged 26),26,Admira Wien
1934,Willibald Schmaus,2DF,(1911-06-16)16 June 1911 (aged 22),0,First Vienna
1934,Karl Sesta,2DF,(1906-03-18)18 March 1906 (aged 28),16,Wiener AC
1934,Matthias Sindelar,4FW,(1903-02-10)10 February 1903 (aged 31),30,Austria Wien
1934,Josef Smistik,3MF,(1905-11-28)28 November 1905 (aged 28),28,Rapid Wien
1934,Josef Stroh,4FW,(1913-03-05)5 March 1913 (aged 21),0,Austria Wien
1934,Johann Urbanek,3MF,(1910-10-10)10 October 1910 (aged 23),1,Admira Wien
1934,Rudolf Viertl,4FW,(1902-11-12)12 November 1902 (aged 31),9,Austria Wien
1934,Franz Wagner,3MF,(1911-09-23)23 September 1911 (aged 22),7,Rapid Wien
1934,Hans Walzhofer,4FW,(1906-03-23)23 March 1906 (aged 28),4,Wacker Wien
1934,Karl Zischek,4FW,(1910-08-28)28 August 1910 (aged 23),20,Wacker Wien
1934,Arnold Badjou,1GK,(1909-06-26)26 June 1909 (aged 24),12,Royal Daring Club Molenbeek
1934,Désiré Bourgeois,3MF,(1908-12-13)13 December 1908 (aged 25),2,Royal FC Malinois
1934,Jean Brichaut,4FW,(1911-07-29)29 July 1911 (aged 22),11,Standard Liège
1934,Jean Capelle,4FW,(1913-10-26)26 October 1913 (aged 20),14,Standard Liège
1934,Jean Claessens,3MF,(1908-06-18)18 June 1908 (aged 25),12,Union Saint-Gilloise
1934,François Devries,4FW,(1913-08-21)21 August 1913 (aged 20),0,Royal Antwerp FC
1934,Laurent Grimmonprez,4FW,(1902-12-14)14 December 1902 (aged 31),9,Royal Racing Club de Gand
1934,August Hellemans,3MF,(1907-09-14)14 September 1907 (aged 26),28,Royal FC Malinois
1934,Albert Heremans,4FW,(1906-04-13)13 April 1906 (aged 28),6,Royal Daring Club Molenbeek
1934,Constant Joacim,2DF,(1908-03-03)3 March 1908 (aged 26),2,Royal Berchem Sport
1934,Robert Lamoot,4FW,(1911-03-18)18 March 1911 (aged 23),1,Royal Daring Club Molenbeek
1934,René Ledent,4FW,(1907-11-08)8 November 1907 (aged 26),3,Standard Liège
1934,Jules Pappaert,2DF,(1905-11-05)5 November 1905 (aged 28),4,Union Saint-Gilloise
1934,Frans Peeraer,3MF,(1913-02-15)15 February 1913 (aged 21),2,Royal Antwerp FC
1934,Victor Putmans,3MF,(1914-05-29)29 May 1914 (aged 19),,Royale Union Hutoise
1934,Charles Simons,3MF,(1906-09-27)27 September 1906 (aged 27),10,Royal Antwerp FC
1934,Philibert Smellinckx,2DF,(1911-01-17)17 January 1911 (aged 23),5,Union Saint-Gilloise
1934,Joseph Van Ingelgem,3MF,(1912-01-23)23 January 1912 (aged 22),11,Royal Daring Club Molenbeek
1934,André Vandewyer,1GK,(1909-06-21)21 June 1909 (aged 24),4,Union Saint-Gilloise
1934,Louis Versyp,4FW,(1908-12-05)5 December 1908 (aged 25),33,Royal FC Brugeois
1934,Bernard Voorhoof,4FW,(1910-05-10)10 May 1910 (aged 24),31,KSK Liersche
1934,Félix Welkenhuysen,3MF,(1908-12-12)12 December 1908 (aged 25),3,Union Saint-Gilloise
1934,Ariel,3MF,(1910-02-22)22 February 1910 (aged 24),0,Botafogo
